candidate_name,year,election_type,office,party,double_checked,source
"TAYLOR, DOUGLAS CLEON",2000,PRIMARY,ASSEMBLY 42,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ADAM, IVKA",2000,PRIMARY,ASSEMBLY 42,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SELZER, MARK ALLEN",2000,PRIMARY,ASSEMBLY 42,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MICHAEL, LIZ",2000,PRIMARY,ASSEMBLY 43,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WAGNER, ROBERT",2000,PRIMARY,ASSEMBLY 44,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DOUGLAS, JERRY",2000,PRIMARY,ASSEMBLY 44,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FRANCO, JR., VICTOR M.",2000,PRIMARY,ASSEMBLY 44,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DE LA ROSA, ANTONIO",2000,PRIMARY,ASSEMBLY 45,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BROWN, MATT",2000,PRIMARY,ASSEMBLY 46,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LEONARD, JONATHAN",2000,PRIMARY,ASSEMBLY 47,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PACER, SCOTT",2000,PRIMARY,ASSEMBLY 47,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WESSON, JR., HERMAN J.",2000,PRIMARY,ASSEMBLY 47,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WRIGHT, RODERICK ""ROD""",2000,PRIMARY,ASSEMBLY 48,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WOODS, ERNEST L.",2000,PRIMARY,ASSEMBLY 48,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROMERO, GLORIA",2000,PRIMARY,ASSEMBLY 49,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MILLER, GLADYS O.",2000,PRIMARY,ASSEMBLY 50,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FIREBAUGH, MARCO ANTONIO",2000,PRIMARY,ASSEMBLY 50,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FERNANDEZ, JOSE",2000,PRIMARY,ASSEMBLY 51,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HAWKINS, ANTOINE",2000,PRIMARY,ASSEMBLY 51,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DUNLAP, JUDY",2000,PRIMARY,ASSEMBLY 51,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BROWN, WANDA M.",2000,PRIMARY,ASSEMBLY 51,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"JIMENEZ, TRINI",2000,PRIMARY,ASSEMBLY 51,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"TAYLOR, JOE",2000,PRIMARY,ASSEMBLY 52,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ILES, MARK ANTHONY",2000,PRIMARY,ASSEMBLY 52,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WASHINGTON, CARL",2000,PRIMARY,ASSEMBLY 52,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HOWITT, PHIL",2000,PRIMARY,ASSEMBLY 53,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FELANDO, GERALD",2000,PRIMARY,ASSEMBLY 53,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NAKANO, GEORGE",2000,PRIMARY,ASSEMBLY 53,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KAHN, SANFORD W.",2000,PRIMARY,ASSEMBLY 54,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LOWENTHAL, ALAN",2000,PRIMARY,ASSEMBLY 54,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC DONALD, R. KEITH",2000,PRIMARY,ASSEMBLY 55,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LANKSTER, SAUL E.",2000,PRIMARY,ASSEMBLY 55,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROBINSON SR, CARL E.",2000,PRIMARY,ASSEMBLY 55,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HAVICE, SALLY",2000,PRIMARY,ASSEMBLY 56,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WONG, DANIEL K.",2000,PRIMARY,ASSEMBLY 56,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLACH, PATRICIA A. (PAT)",2000,PRIMARY,ASSEMBLY 57,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FELLOW, TONY",2000,PRIMARY,ASSEMBLY 57,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LOZANO, MANUEL",2000,PRIMARY,ASSEMBLY 57,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VENTUROSO, KATHERINE LICARI",2000,PRIMARY,ASSEMBLY 57,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CALDERON, THOMAS M.",2000,PRIMARY,ASSEMBLY 58,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BURROLA, ALEX A.",2000,PRIMARY,ASSEMBLY 58,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LEIGA, AL",2000,PRIMARY,ASSEMBLY 59,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WHITE, GEORGE",2000,PRIMARY,ASSEMBLY 59,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ALLISON, LOUISE M.",2000,PRIMARY,ASSEMBLY 59,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KHALIL, KHALIL",2000,PRIMARY,ASSEMBLY 59,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"YOUNG, SCOTT E.",2000,PRIMARY,ASSEMBLY 60,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PACHECO, ROBERT ""BOB""",2000,PRIMARY,ASSEMBLY 60,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DUHAMEL, JEFF A.",2000,PRIMARY,ASSEMBLY 60,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CORTEZ, EDWARD",2000,PRIMARY,ASSEMBLY 61,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KOCOT, DAVID",2000,PRIMARY,ASSEMBLY 61,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DEMALLIE, BOB",2000,PRIMARY,ASSEMBLY 61,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GARCIA, MARK",2000,PRIMARY,ASSEMBLY 62,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MATUS, HENRY JOHN",2000,PRIMARY,ASSEMBLY 62,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MARTINEZ, MARY LOU",2000,PRIMARY,ASSEMBLY 62,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LONGVILLE, JOHN",2000,PRIMARY,ASSEMBLY 62,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"STOTZ, SCOTT T.",2000,PRIMARY,ASSEMBLY 63,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLACE, VINCENT",2000,PRIMARY,ASSEMBLY 63,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MOHLER, ETHEL M.",2000,PRIMARY,ASSEMBLY 63,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LEONARD, BILL",2000,PRIMARY,ASSEMBLY 63,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLACK, ANNIE",2000,PRIMARY,ASSEMBLY 64,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PACHECO, RODRIC A.",2000,PRIMARY,ASSEMBLY 64,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"TURNER, PHIL",2000,PRIMARY,ASSEMBLY 64,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pd
"RENTERIA, JOSEPH RAY",2000,PRIMARY,ASSEMBLY 65,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MEDIANO, JR., ADOLFO",2000,PRIMARY,ASSEMBLY 65,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"O'BRIEN, DAVID WIILLIAM",2000,PRIMARY,ASSEMBLY 65,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ESTENGER, BILL",2000,PRIMARY,ASSEMBLY 66,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CANFIELD, BOB",2000,PRIMARY,ASSEMBLY 66,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"REUTTER, CHUCK",2000,PRIMARY,ASSEMBLY 66,GREEN PARTY,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HILBERT, ANDREW MARTIN",2000,PRIMARY,ASSEMBLY 67,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BROWNE, AUTUMN",2000,PRIMARY,ASSEMBLY 67,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NEWHOUSE, RICHARD G.",2000,PRIMARY,ASSEMBLY 68,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SNOOK, AL",2000,PRIMARY,ASSEMBLY 68,REFORM PARTY,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MADDOX, KENNETH",2000,PRIMARY,ASSEMBLY 68,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PHAM, BRIAN TUAN",2000,PRIMARY,ASSEMBLY 69,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CORREA, LOU",2000,PRIMARY,ASSEMBLY 69,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KATZ, BARRY L.",2000,PRIMARY,ASSEMBLY 70,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MILLS, RAYMOND O.",2000,PRIMARY,ASSEMBLY 70,REFORM PARTY,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC KEON, MERRITT LORI",2000,PRIMARY,ASSEMBLY 70,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VONDRUSKA, ROBERT ANTHONY",2000,PRIMARY,ASSEMBLY 70,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CAMPBELL, BILL",2000,PRIMARY,ASSEMBLY 71,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BECK, GARY C.",2000,PRIMARY,ASSEMBLY 71,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BRYANT, BRENDA JO",2000,PRIMARY,ASSEMBLY 71,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CROSS, BRIAN LEE",2000,PRIMARY,ASSEMBLY 71,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FOSTER, BEA",2000,PRIMARY,ASSEMBLY 71,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NANJUNDAPPA, GANGADHARAPRA",2000,PRIMARY,ASSEMBLY 72,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ZAMARRA, JOHN WM.",2000,PRIMARY,ASSEMBLY 72,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FISHER, PAUL",2000,PRIMARY,ASSEMBLY 73,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WILBERG, ROBERT D.",2000,PRIMARY,ASSEMBLY 73,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BATES, PATRICIA C. ""PAT""",2000,PRIMARY,ASSEMBLY 73,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KING, PAUL H.",2000,PRIMARY,ASSEMBLY 73,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DURGIN JR., GEORGE A.",2000,PRIMARY,ASSEMBLY 74,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BEIER, KEITH E.",2000,PRIMARY,ASSEMBLY 74,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HOHMAN, TOM",2000,PRIMARY,ASSEMBLY 74,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BOND, JAMES",2000,PRIMARY,ASSEMBLY 74,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HERRERA, JOHN",2000,PRIMARY,ASSEMBLY 74,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BOURDETTE, BARBARA",2000,PRIMARY,ASSEMBLY 74,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"RADY, JUNE",2000,PRIMARY,ASSEMBLY 74,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALTERS, JUDITH K.",2000,PRIMARY,ASSEMBLY 75,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ZETTEL, CHARLENE",2000,PRIMARY,ASSEMBLY 75,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WARD, BOB",2000,PRIMARY,ASSEMBLY 75,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PIETILA, GARY W.",2000,PRIMARY,ASSEMBLY 75,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"OAKEY, DAVID T.",2000,PRIMARY,ASSEMBLY 76,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CUBELLO, JOHN ""CUBBY""",2000,PRIMARY,ASSEMBLY 76,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GALLUP, CHRIS",2000,PRIMARY,ASSEMBLY 76,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KROPP, ELMER MARK",2000,PRIMARY,ASSEMBLY 76,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DAVIDSON, LAOMA C. ""DANA""",2000,PRIMARY,ASSEMBLY 77,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"METTI, MICHAEL S.",2000,PRIMARY,ASSEMBLY 77,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DORIA, MANNY",2000,PRIMARY,ASSEMBLY 77,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MENDOZA, MATT",2000,PRIMARY,ASSEMBLY 77,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WINGFIELD, RAYMOND C.",2000,PRIMARY,ASSEMBLY 78,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"TRIGLIA, DENNIS",2000,PRIMARY,ASSEMBLY 78,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WAYNE, HOWARD",2000,PRIMARY,ASSEMBLY 78,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHELBY, MYKE",2000,PRIMARY,ASSEMBLY 78,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PARUNGAO, JON",2000,PRIMARY,ASSEMBLY 79,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CRENSHAW, DWAYNE",2000,PRIMARY,ASSEMBLY 79,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BARAJAS, PETRA",2000,PRIMARY,ASSEMBLY 79,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CARDULLA, RICHARD J.",2000,PRIMARY,ASSEMBLY 79,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SECREST, LARRY L.",2000,PRIMARY,ASSEMBLY 79,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"JOHANSEN, PATRICIA ""PAT""",2000,PRIMARY,ASSEMBLY 80,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LEWIS, JIM",2000,PRIMARY,ASSEMBLY 80,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KELLEY, DAVID G.",2000,PRIMARY,ASSEMBLY 80,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WEBER, SUSAN MARIE",2000,PRIMARY,ASSEMBLY 80,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"OLLER, THOMAS",2000,PRIMARY,STATE SENATE 01,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CALLAWAY, MERITA A.",2000,PRIMARY,STATE SENATE 01,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GRUENDL, SCOTT",2000,PRIMARY,STATE SENATE 01,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PETERSEN, JON",2000,PRIMARY,STATE SENATE 01,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROMERO, THOMAS ""TOM""",2000,PRIMARY,STATE SENATE 01,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"DAUM, R.K. ""SKIP:",2000,PRIMARY,STATE SENATE 01,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"JOKI, CELESTE JOY BLAU",2000,PRIMARY,STATE SENATE 03,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"FAULKNER, TERRENCE",2000,PRIMARY,STATE SENATE 03,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHOEMAKER, JAMES",2000,PRIMARY,STATE SENATE 05,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BROW, CAROLE",2000,PRIMARY,STATE SENATE 05,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NICOLAS, WILLIAM S.",2000,PRIMARY,STATE SENATE 05,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"TORLAKSON, TOM",2000,PRIMARY,STATE SENATE 07,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"RAINEY, DICK",2000,PRIMARY,STATE SENATE 07,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CHILIMIDOS, DARYL",2000,PRIMARY,STATE SENATE 07,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BILLINGS, MARK",2000,PRIMARY,STATE SENATE 07,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"EYER, JAMES M.",2000,PRIMARY,STATE SENATE 09,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MARSHALL, LINDA J.",2000,PRIMARY,STATE SENATE 09,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"PERATA, DON",2000,PRIMARY,STATE SENATE 09,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SHER, BYRON",2000,PRIMARY,STATE SENATE 11,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HICKEY, JOHN J.",2000,PRIMARY,STATE SENATE 11,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LONGWELL, JOHN",2000,PRIMARY,STATE SENATE 13,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VASCONCELLOS, JOHN",2000,PRIMARY,STATE SENATE 13,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WATSON, KENNITA L.",2000,PRIMARY,STATE SENATE 13,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WEBSTER, JOHN H.",2000,PRIMARY,STATE SENATE 13,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC PHERSON, BRUCE",2000,PRIMARY,STATE SENATE 15,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"OGNYANOVICH, KATHRINA M.",2000,PRIMARY,STATE SENATE 15,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"ROSENKRANZ, DAVID",2000,PRIMARY,STATE SENATE 15,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SACHTJEN, GORDON D.",2000,PRIMARY,STATE SENATE 15,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"CHAVEZ, ANSELMO A.",2000,PRIMARY,STATE SENATE 15,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KNIGHT, WILLIAM J. ""PETE""",2000,PRIMARY,STATE SENATE 17,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"LOTT, RICHARD",2000,PRIMARY,STATE SENATE 17,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GIBSON, JOHN R.",2000,PRIMARY,STATE SENATE 17,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLACK, DOUGLAS R.",2000,PRIMARY,STATE SENATE 17,NATURAL LAW,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC CLINTOCK, THOMAS",2000,PRIMARY,STATE SENATE 19,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"GONZALEZ, DANIEL R.",2000,PRIMARY,STATE SENATE 19,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WILDMAN, SCOTT",2000,PRIMARY,STATE SENATE 21,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"SCOTT, JACK",2000,PRIMARY,STATE SENATE 21,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"WALLIS, DAVE",2000,PRIMARY,STATE SENATE 21,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"NEW, BOB",2000,PRIMARY,STATE SENATE 21,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KUEHL, SHEILA J.",2000,PRIMARY,STATE SENATE 23,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"BLACK, CHARLES T.",2000,PRIMARY,STATE SENATE 23,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KNOX, WALLY",2000,PRIMARY,STATE SENATE 23,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"MC CLAIN, CLIFF",2000,PRIMARY,STATE SENATE 25,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"VINCENT, EDWARD",2000,PRIMARY,STATE SENATE 25,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"KARNETTE, BETTY",2000,PRIMARY,STATE SENATE 27,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
"HERFERT, STEVE",2000,PRIMARY,STATE SENATE 29,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2000-primary/sov-complete.pdf
